ds;country;polygon_source;polygon_id;polygon_name;changeofmovement;stayput;baseline_name;baseline_type;;provinsi
Apr-21;IDN;GADM;IDN.10.19_1;Kudus;-0.087344333;0.168472333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.33.4_1;Kulon Progo;-0.105354333;0.17971;full_february;DAY_OF_WEEK;;Yogyakarta
Apr-21;IDN;GADM;IDN.9.20_1;Kuningan;-0.139751333;0.254371667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.11.18_1;Lamongan;-0.060671;0.219703667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.4.4_1;Lebak;-0.059871333;0.258588;full_february;DAY_OF_WEEK;;Banten
Apr-21;IDN;GADM;IDN.11.19_1;Lumajang;-0.060753333;0.235002;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.20_1;Madiun;-0.137720333;0.232795333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.20_1;Magelang;-0.120638333;0.206575667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.11.21_1;Magetan;-0.133171;0.231056;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.9.21_1;Majalengka;-0.042765667;0.23504;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.11.22_1;Malang;-0.140898333;0.245157;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.23_1;Mojokerto;-0.091905;0.191578333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.24_1;Nganjuk;-0.065685;0.229083667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.25_1;Ngawi;-0.126114667;0.233519333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.26_1;Pacitan;-0.109787667;0.231677667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.27_1;Pamekasan;-0.040113333;0.176163333;full_february;DAY_OF_WEEK;;Jawa Timur
